,start,end,x_ksm,y_ksm,z_ksm,duration,Range (RS),LocalTime (hr),Latitute (deg)
155,2004-04-27 15:42:00.000,2004-04-28 07:06:00.000,215.91178023321413,-499.2262003020073,-69.66240605297055,55440.0,548.3589579176623,7.229444444444445,-19.7989204412339
156,2004-04-28 11:51:00.000,2004-04-28 14:00:00.000,213.12916342580843,-493.325198478394,-69.0057763402495,7740.0,541.8077047483288,7.227777777777778,-19.799383033747343
157,2004-04-28 17:45:00.000,2004-04-28 22:15:00.000,212.31549924363856,-491.6116765790982,-68.70270944933937,16200.0,539.8888534260248,7.227222222222222,-19.799522702743797
158,2004-04-29 09:06:00.000,2004-04-29 12:06:00.000,210.20089505169216,-487.1044703267633,-68.24739955432752,10800.0,534.895212951824,7.225833333333333,-19.799896770974414
159,2004-04-30 17:12:00.000,2004-05-01 08:33:00.000,205.78941229773224,-477.6964087454281,-67.08378856355523,55260.0,524.4457796857221,7.223333333333334,-19.8007361160398
160,2004-05-02 21:00:00.000,2004-05-03 00:30:00.000,198.69908020712305,-462.47548056371136,-65.22933303871866,12600.0,507.56256805094336,7.219166666666667,-19.802302639655093
161,2004-05-05 03:24:00.000,2004-05-05 05:09:00.000,191.2882576712956,-446.45539201374186,-63.19588318561701,6300.0,489.8033628229537,7.215,-19.804227322067185
162,2004-05-06 00:57:00.000,2004-05-06 03:48:00.000,188.3621781076359,-440.0971009852101,-62.382857592771614,10260.0,482.7601778921693,7.213333333333334,-19.80505708724674
163,2004-05-06 20:39:00.000,2004-05-07 03:18:00.000,185.6920325367664,-434.2737190010543,-61.67123347056849,23940.0,476.3176828550705,7.211944444444445,-19.805842080174028
164,2004-05-07 10:39:00.000,2004-05-07 12:18:00.000,183.7972129397961,-430.14986527060415,-61.0368634506721,5940.0,471.7370250220473,7.210833333333333,-19.80641111789651
165,2004-05-07 12:33:00.000,2004-05-07 13:45:00.000,183.54023783259663,-429.5960814709845,-60.90766677656043,4320.0,471.1152258110912,7.210555555555556,-19.806488779088077
166,2004-05-08 07:42:00.000,2004-05-08 12:00:00.000,180.95267950539383,-423.91952176445096,-60.253363670792936,15480.0,464.84631975183737,7.209166666666666,-19.807275132029886
167,2004-05-08 18:39:00.000,2004-05-08 21:39:00.000,179.47517516260746,-420.6789160600752,-59.82390573065477,10800.0,461.2602178965781,7.208333333333334,-19.807728489749643
168,2004-05-09 05:36:00.000,2004-05-09 09:30:00.000,177.9991784989669,-417.4364259573285,-59.3941867585341,14040.0,457.6729691417693,7.207777777777778,-19.808184994266384
169,2004-05-09 16:36:00.000,2004-05-09 20:51:00.000,176.51797361474806,-414.1774236736906,-58.96080939522943,15300.0,454.06817806863904,7.206944444444445,-19.808646282735754
170,2004-05-12 08:03:00.000,2004-05-12 11:42:00.000,168.00477041813443,-395.32870809197146,-56.53291454115455,13140.0,433.2509212355292,7.202500000000001,-19.81138072291944
171,2004-05-12 18:33:00.000,2004-05-12 22:03:00.000,166.6010378726006,-392.2027474440268,-56.13028941255028,12600.0,429.8017104577498,7.201944444444445,-19.811851533039828
172,2004-05-13 15:27:00.000,2004-05-13 19:51:00.000,163.81122009590126,-385.9742866956586,-55.32995225151296,15840.0,422.9322279463755,7.200555555555556,-19.81281042258879
173,2004-05-13 21:21:00.000,2004-05-13 23:42:00.000,163.02470053716033,-384.210534942319,-55.13154385843816,8460.0,420.99201331392095,7.2,-19.81308754642553
174,2004-05-13 23:57:00.000,2004-05-14 01:12:00.000,162.67824185143635,-383.42943885578126,-55.06936802137077,4500.0,420.1368589488512,7.2,-19.81321083047316
175,2004-05-14 01:30:00.000,2004-05-14 09:30:00.000,162.47174036836122,-382.97399066712177,-54.96076580098458,28800.0,419.6270126234196,7.199722222222222,-19.8132846900994
176,2004-05-14 10:00:00.000,2004-05-14 14:06:00.000,161.33985168891243,-380.4306819226542,-54.6774007870213,14760.0,416.8305046994048,7.1994444444444445,-19.813694822523196
