,start,end,x_ksm,y_ksm,z_ksm,label,duration,Range,subLST,subLat,south phase,north phase
4022,2015-08-07 01:12:00.000,2015-08-07 10:21:00.000,-24.75948334068774,-36.21018680130756,11.160677058639331,LFE,32940.0,45.263344506240585,3.542222222222222,-0.566118052863368,3420927.9363807663,3417615.717402588
4023,2015-08-08 11:03:00.000,2015-08-08 16:24:00.000,-22.119876388593877,-37.7013937653354,9.938518400635566,LFE_sm,19260.0,44.82698039457169,3.817222222222222,-0.5666428071268732,3422066.921260217,3418745.29422344
4024,2015-08-09 21:45:00.000,2015-08-09 23:57:00.000,-18.75721845290766,-38.11376336843243,8.378058514667087,LFE_sm,7920.0,43.29762195167475,4.111944444444444,-0.5639052978347215,3423234.506941663,3419903.1738594053
4025,2015-08-13 22:27:00.000,2015-08-14 02:57:00.000,-6.1718405270088805,-31.66707637647586,2.6158736548117174,LFE,16200.0,32.36878336765722,5.203611111111111,-0.5245755004464989,3426488.268768631,3423129.8825838314
4026,2015-08-14 14:00:00.000,2015-08-14 19:00:00.000,-3.748801363268287,-29.167379577545415,1.5207633606536246,LFE,18000.0,29.44660021600053,5.474444444444445,-0.5079825458821695,3427011.495205129,3423648.758702392
4027,2015-08-14 20:24:00.000,2015-08-15 02:57:00.000,-2.726737186759023,-27.966240424261027,1.0505357569866365,LFE,23580.0,28.11848723757972,5.603055555555555,-0.4991999269207471,3427226.8424201515,3423862.3154328614
4028,2015-08-15 08:15:00.000,2015-08-15 13:12:00.000,-0.8062589962890596,-25.426799573320924,0.1814231333817008,LFE_sm,17820.0,25.440226108748647,5.878333333333334,-0.4784992776855578,3427625.5712479646,3424257.7290666196
4029,2015-08-16 16:09:00.000,2015-08-16 17:48:00.000,4.26903615212216,-15.714863079964514,-2.091987481668015,LFE_sm,5940.0,16.418221673299865,7.121666666666666,-0.3559870055025307,3428698.9425228387,3425322.17589505
4030,2015-08-16 18:45:00.000,2015-08-16 19:33:00.000,4.636203445715494,-14.65190134289036,-2.2507648782356857,LFE_sm,2880.0,15.531855584216451,7.291944444444444,-0.3359649519652098,3428786.4273289414,3425408.933316803
4031,2015-08-20 16:03:00.000,2015-08-20 22:48:00.000,-21.5650812395207,-7.275273066332191,9.9481139355386,LFE,24300.0,24.838423821395825,1.1352777777777778,-0.3835200295242839,3431927.7675157697,3428522.190028168
4032,2015-08-21 17:27:00.000,2015-08-21 18:09:00.000,-24.924821973623352,-13.012486033303592,11.479964813375704,LFE_sm,2520.0,30.37039899803891,1.6916666666666669,-0.4139664470081771,3432783.2365993257,3429369.6307889097
4033,2015-08-22 12:42:00.000,2015-08-22 14:21:00.000,-26.571347322826767,-16.9140281588272,12.221419662772728,LFE_sm,5940.0,33.78585422453457,2.0027777777777778,-0.4271944738739614,3433431.5743890284,3430011.8452730095
4034,2015-08-22 15:00:00.000,2015-08-22 17:03:00.000,-26.72701446203665,-17.35224489998124,12.29529727828503,LFE,7380.0,34.155644340053726,2.035833333333333,-0.4284367376465582,3433509.0381249413,3430088.5773931886
4035,2015-08-22 18:24:00.000,2015-08-22 21:51:00.000,-26.942659365072423,-17.99655483150754,12.3893962854603,LFE,12420.0,34.688326851895866,2.0836111111111117,-0.430168273731608,3433623.5497345515,3430202.0074838866
4036,2015-08-23 03:27:00.000,2015-08-24 02:21:00.000,-27.43697194819339,-19.649847430585808,12.613778651756965,LFE_m,82440.0,36.027924525384066,2.203888888888889,-0.4342354213266591,3433928.3526954246,3430503.9316958925
